k,t,D_kt
0,1,784000
1,1,784000
2,1,784000
3,1,784000
4,1,784000
5,1,784000
6,1,784000
7,1,784000
8,1,784000
9,1,784000
10,1,784000
0,2,805000
1,2,805000
2,2,805000
3,2,805000
4,2,805000
5,2,805000
6,2,805000
7,2,805000
8,2,805000
9,2,805000
10,2,805000
0,3,784000
1,3,784000
2,3,784000
3,3,784000
4,3,784000
5,3,784000
6,3,784000
7,3,784000
8,3,784000
9,3,784000
10,3,784000
0,4,756000
1,4,756000
2,4,756000
3,4,756000
4,4,756000
5,4,756000
6,4,756000
7,4,756000
8,4,756000
9,4,756000
10,4,756000
0,5,763000
1,5,763000
2,5,763000
3,5,763000
4,5,763000
5,5,763000
6,5,763000
7,5,763000
8,5,763000
9,5,763000
10,5,763000
0,6,805000
1,6,805000
2,6,805000
3,6,805000
4,6,805000
5,6,805000
6,6,805000
7,6,805000
8,6,805000
9,6,805000
10,6,805000
0,7,791000
1,7,791000
2,7,791000
3,7,791000
4,7,791000
5,7,791000
6,7,791000
7,7,791000
8,7,791000
9,7,791000
10,7,791000
0,8,763000
1,8,763000
2,8,763000
3,8,763000
4,8,763000
5,8,763000
6,8,763000
7,8,763000
8,8,763000
9,8,763000
10,8,763000
0,9,777000
1,9,777000
2,9,777000
3,9,777000
4,9,777000
5,9,777000
6,9,777000
7,9,777000
8,9,777000
9,9,777000
10,9,777000
0,10,770000
1,10,770000
2,10,770000
3,10,770000
4,10,770000
5,10,770000
6,10,770000
7,10,770000
8,10,770000
9,10,770000
10,10,770000
0,11,749000
1,11,749000
2,11,749000
3,11,749000
4,11,749000
5,11,749000
6,11,749000
7,11,749000
8,11,749000
9,11,749000
10,11,749000
0,12,808500
1,12,808500
2,12,808500
3,12,808500
4,12,808500
5,12,808500
6,12,808500
7,12,808500
8,12,808500
9,12,808500
10,12,808500
