u,k,Dist_uk
0,0,10
0,1,1000
0,2,2000
0,3,3000
0,4,4000
0,5,5000
0,6,6000
0,7,7000
0,8,8000
0,9,9000
0,10,10000
1,0,10
1,1,990
1,2,1990
1,3,2990
1,4,3990
1,5,4990
1,6,5990
1,7,6990
1,8,7990
1,9,8990
1,10,9990
2,0,20
2,1,980
2,2,1980
2,3,2980
2,4,3980
2,5,4980
2,6,5980
2,7,6980
2,8,7980
2,9,8980
2,10,9980
3,0,30
3,1,970
3,2,1970
3,3,2970
3,4,3970
3,5,4970
3,6,5970
3,7,6970
3,8,7970
3,9,8970
3,10,9970
4,0,40
4,1,960
4,2,1960
4,3,2960
4,4,3960
4,5,4960
4,6,5960
4,7,6960
4,8,7960
4,9,8960
4,10,9960
5,0,50
5,1,950
5,2,1950
5,3,2950
5,4,3950
5,5,4950
5,6,5950
5,7,6950
5,8,7950
5,9,8950
5,10,9950
6,0,60
6,1,940
6,2,1940
6,3,2940
6,4,3940
6,5,4940
6,6,5940
6,7,6940
6,8,7940
6,9,8940
6,10,9940
7,0,70
7,1,930
7,2,1930
7,3,2930
7,4,3930
7,5,4930
7,6,5930
7,7,6930
7,8,7930
7,9,8930
7,10,9930
8,0,80
8,1,920
8,2,1920
8,3,2920
8,4,3920
8,5,4920
8,6,5920
8,7,6920
8,8,7920
8,9,8920
8,10,9920
9,0,90
9,1,910
9,2,1910
9,3,2910
9,4,3910
9,5,4910
9,6,5910
9,7,6910
9,8,7910
9,9,8910
9,10,9910
10,0,100
10,1,900
10,2,1900
10,3,2900
10,4,3900
10,5,4900
10,6,5900
10,7,6900
10,8,7900
10,9,8900
10,10,9900
11,0,110
11,1,890
11,2,1890
11,3,2890
11,4,3890
11,5,4890
11,6,5890
11,7,6890
11,8,7890
11,9,8890
11,10,9890
12,0,120
12,1,880
12,2,1880
12,3,2880
12,4,3880
12,5,4880
12,6,5880
12,7,6880
12,8,7880
12,9,8880
12,10,9880
13,0,130
13,1,870
13,2,1870
13,3,2870
13,4,3870
13,5,4870
13,6,5870
13,7,6870
13,8,7870
13,9,8870
13,10,9870
14,0,140
14,1,860
14,2,1860
14,3,2860
14,4,3860
14,5,4860
14,6,5860
14,7,6860
14,8,7860
14,9,8860
14,10,9860
15,0,150
15,1,850
15,2,1850
15,3,2850
15,4,3850
15,5,4850
15,6,5850
15,7,6850
15,8,7850
15,9,8850
15,10,9850
16,0,160
16,1,840
16,2,1840
16,3,2840
16,4,3840
16,5,4840
16,6,5840
16,7,6840
16,8,7840
16,9,8840
16,10,9840
17,0,170
17,1,830
17,2,1830
17,3,2830
17,4,3830
17,5,4830
17,6,5830
17,7,6830
17,8,7830
17,9,8830
17,10,9830
18,0,180
18,1,820
18,2,1820
18,3,2820
18,4,3820
18,5,4820
18,6,5820
18,7,6820
18,8,7820
18,9,8820
18,10,9820
19,0,190
19,1,810
19,2,1810
19,3,2810
19,4,3810
19,5,4810
19,6,5810
19,7,6810
19,8,7810
19,9,8810
19,10,9810
20,0,200
20,1,800
20,2,1800
20,3,2800
20,4,3800
20,5,4800
20,6,5800
20,7,6800
20,8,7800
20,9,8800
20,10,9800
21,0,210
21,1,790
21,2,1790
21,3,2790
21,4,3790
21,5,4790
21,6,5790
21,7,6790
21,8,7790
21,9,8790
21,10,9790
22,0,220
22,1,780
22,2,1780
22,3,2780
22,4,3780
22,5,4780
22,6,5780
22,7,6780
22,8,7780
22,9,8780
22,10,9780
23,0,230
23,1,770
23,2,1770
23,3,2770
23,4,3770
23,5,4770
23,6,5770
23,7,6770
23,8,7770
23,9,8770
23,10,9770
24,0,240
24,1,760
24,2,1760
24,3,2760
24,4,3760
24,5,4760
24,6,5760
24,7,6760
24,8,7760
24,9,8760
24,10,9760
25,0,250
25,1,750
25,2,1750
25,3,2750
25,4,3750
25,5,4750
25,6,5750
25,7,6750
25,8,7750
25,9,8750
25,10,9750
26,0,260
26,1,740
26,2,1740
26,3,2740
26,4,3740
26,5,4740
26,6,5740
26,7,6740
26,8,7740
26,9,8740
26,10,9740
27,0,270
27,1,730
27,2,1730
27,3,2730
27,4,3730
27,5,4730
27,6,5730
27,7,6730
27,8,7730
27,9,8730
27,10,9730
28,0,280
28,1,720
28,2,1720
28,3,2720
28,4,3720
28,5,4720
28,6,5720
28,7,6720
28,8,7720
28,9,8720
28,10,9720
29,0,290
29,1,710
29,2,1710
29,3,2710
29,4,3710
29,5,4710
29,6,5710
29,7,6710
29,8,7710
29,9,8710
29,10,9710
30,0,300
30,1,700
30,2,1700
30,3,2700
30,4,3700
30,5,4700
30,6,5700
30,7,6700
30,8,7700
30,9,8700
30,10,9700
31,0,310
31,1,690
31,2,1690
31,3,2690
31,4,3690
31,5,4690
31,6,5690
31,7,6690
31,8,7690
31,9,8690
31,10,9690
32,0,320
32,1,680
32,2,1680
32,3,2680
32,4,3680
32,5,4680
32,6,5680
32,7,6680
32,8,7680
32,9,8680
32,10,9680
33,0,330
33,1,670
33,2,1670
33,3,2670
33,4,3670
33,5,4670
33,6,5670
33,7,6670
33,8,7670
33,9,8670
33,10,9670
34,0,340
34,1,660
34,2,1660
34,3,2660
34,4,3660
34,5,4660
34,6,5660
34,7,6660
34,8,7660
34,9,8660
34,10,9660
35,0,350
35,1,650
35,2,1650
35,3,2650
35,4,3650
35,5,4650
35,6,5650
35,7,6650
35,8,7650
35,9,8650
35,10,9650
36,0,360
36,1,640
36,2,1640
36,3,2640
36,4,3640
36,5,4640
36,6,5640
36,7,6640
36,8,7640
36,9,8640
36,10,9640
37,0,370
37,1,630
37,2,1630
37,3,2630
37,4,3630
37,5,4630
37,6,5630
37,7,6630
37,8,7630
37,9,8630
37,10,9630
38,0,380
38,1,620
38,2,1620
38,3,2620
38,4,3620
38,5,4620
38,6,5620
38,7,6620
38,8,7620
38,9,8620
38,10,9620
39,0,390
39,1,610
39,2,1610
39,3,2610
39,4,3610
39,5,4610
39,6,5610
39,7,6610
39,8,7610
39,9,8610
39,10,9610
40,0,400
40,1,600
40,2,1600
40,3,2600
40,4,3600
40,5,4600
40,6,5600
40,7,6600
40,8,7600
40,9,8600
40,10,9600
41,0,410
41,1,590
41,2,1590
41,3,2590
41,4,3590
41,5,4590
41,6,5590
41,7,6590
41,8,7590
41,9,8590
41,10,9590
42,0,420
42,1,580
42,2,1580
42,3,2580
42,4,3580
42,5,4580
42,6,5580
42,7,6580
42,8,7580
42,9,8580
42,10,9580
43,0,430
43,1,570
43,2,1570
43,3,2570
43,4,3570
43,5,4570
43,6,5570
43,7,6570
43,8,7570
43,9,8570
43,10,9570
44,0,440
44,1,560
44,2,1560
44,3,2560
44,4,3560
44,5,4560
44,6,5560
44,7,6560
44,8,7560
44,9,8560
44,10,9560
45,0,450
45,1,550
45,2,1550
45,3,2550
45,4,3550
45,5,4550
45,6,5550
45,7,6550
45,8,7550
45,9,8550
45,10,9550
46,0,460
46,1,540
46,2,1540
46,3,2540
46,4,3540
46,5,4540
46,6,5540
46,7,6540
46,8,7540
46,9,8540
46,10,9540
47,0,470
47,1,530
47,2,1530
47,3,2530
47,4,3530
47,5,4530
47,6,5530
47,7,6530
47,8,7530
47,9,8530
47,10,9530
48,0,480
48,1,520
48,2,1520
48,3,2520
48,4,3520
48,5,4520
48,6,5520
48,7,6520
48,8,7520
48,9,8520
48,10,9520
49,0,490
49,1,510
49,2,1510
49,3,2510
49,4,3510
49,5,4510
49,6,5510
49,7,6510
49,8,7510
49,9,8510
49,10,9510
50,0,500
50,1,500
50,2,1500
50,3,2500
50,4,3500
50,5,4500
50,6,5500
50,7,6500
50,8,7500
50,9,8500
50,10,9500
51,0,510
51,1,490
51,2,1490
51,3,2490
51,4,3490
51,5,4490
51,6,5490
51,7,6490
51,8,7490
51,9,8490
51,10,9490
52,0,520
52,1,480
52,2,1480
52,3,2480
52,4,3480
52,5,4480
52,6,5480
52,7,6480
52,8,7480
52,9,8480
52,10,9480
53,0,530
53,1,470
53,2,1470
53,3,2470
53,4,3470
53,5,4470
53,6,5470
53,7,6470
53,8,7470
53,9,8470
53,10,9470
54,0,540
54,1,460
54,2,1460
54,3,2460
54,4,3460
54,5,4460
54,6,5460
54,7,6460
54,8,7460
54,9,8460
54,10,9460
55,0,550
55,1,450
55,2,1450
55,3,2450
55,4,3450
55,5,4450
55,6,5450
55,7,6450
55,8,7450
55,9,8450
55,10,9450
56,0,560
56,1,440
56,2,1440
56,3,2440
56,4,3440
56,5,4440
56,6,5440
56,7,6440
56,8,7440
56,9,8440
56,10,9440
57,0,570
57,1,430
57,2,1430
57,3,2430
57,4,3430
57,5,4430
57,6,5430
57,7,6430
57,8,7430
57,9,8430
57,10,9430
58,0,580
58,1,420
58,2,1420
58,3,2420
58,4,3420
58,5,4420
58,6,5420
58,7,6420
58,8,7420
58,9,8420
58,10,9420
59,0,590
59,1,410
59,2,1410
59,3,2410
59,4,3410
59,5,4410
59,6,5410
59,7,6410
59,8,7410
59,9,8410
59,10,9410
60,0,600
60,1,400
60,2,1400
60,3,2400
60,4,3400
60,5,4400
60,6,5400
60,7,6400
60,8,7400
60,9,8400
60,10,9400
61,0,610
61,1,390
61,2,1390
61,3,2390
61,4,3390
61,5,4390
61,6,5390
61,7,6390
61,8,7390
61,9,8390
61,10,9390
62,0,620
62,1,380
62,2,1380
62,3,2380
62,4,3380
62,5,4380
62,6,5380
62,7,6380
62,8,7380
62,9,8380
62,10,9380
63,0,630
63,1,370
63,2,1370
63,3,2370
63,4,3370
63,5,4370
63,6,5370
63,7,6370
63,8,7370
63,9,8370
63,10,9370
64,0,640
64,1,360
64,2,1360
64,3,2360
64,4,3360
64,5,4360
64,6,5360
64,7,6360
64,8,7360
64,9,8360
64,10,9360
65,0,650
65,1,350
65,2,1350
65,3,2350
65,4,3350
65,5,4350
65,6,5350
65,7,6350
65,8,7350
65,9,8350
65,10,9350
66,0,660
66,1,340
66,2,1340
66,3,2340
66,4,3340
66,5,4340
66,6,5340
66,7,6340
66,8,7340
66,9,8340
66,10,9340
67,0,670
67,1,330
67,2,1330
67,3,2330
67,4,3330
67,5,4330
67,6,5330
67,7,6330
67,8,7330
67,9,8330
67,10,9330
68,0,680
68,1,320
68,2,1320
68,3,2320
68,4,3320
68,5,4320
68,6,5320
68,7,6320
68,8,7320
68,9,8320
68,10,9320
69,0,690
69,1,310
69,2,1310
69,3,2310
69,4,3310
69,5,4310
69,6,5310
69,7,6310
69,8,7310
69,9,8310
69,10,9310
70,0,700
70,1,300
70,2,1300
70,3,2300
70,4,3300
70,5,4300
70,6,5300
70,7,6300
70,8,7300
70,9,8300
70,10,9300
71,0,710
71,1,290
71,2,1290
71,3,2290
71,4,3290
71,5,4290
71,6,5290
71,7,6290
71,8,7290
71,9,8290
71,10,9290
72,0,720
72,1,280
72,2,1280
72,3,2280
72,4,3280
72,5,4280
72,6,5280
72,7,6280
72,8,7280
72,9,8280
72,10,9280
73,0,730
73,1,270
73,2,1270
73,3,2270
73,4,3270
73,5,4270
73,6,5270
73,7,6270
73,8,7270
73,9,8270
73,10,9270
74,0,740
74,1,260
74,2,1260
74,3,2260
74,4,3260
74,5,4260
74,6,5260
74,7,6260
74,8,7260
74,9,8260
74,10,9260
75,0,750
75,1,250
75,2,1250
75,3,2250
75,4,3250
75,5,4250
75,6,5250
75,7,6250
75,8,7250
75,9,8250
75,10,9250
76,0,760
76,1,240
76,2,1240
76,3,2240
76,4,3240
76,5,4240
76,6,5240
76,7,6240
76,8,7240
76,9,8240
76,10,9240
77,0,770
77,1,230
77,2,1230
77,3,2230
77,4,3230
77,5,4230
77,6,5230
77,7,6230
77,8,7230
77,9,8230
77,10,9230
78,0,780
78,1,220
78,2,1220
78,3,2220
78,4,3220
78,5,4220
78,6,5220
78,7,6220
78,8,7220
78,9,8220
78,10,9220
79,0,790
79,1,210
79,2,1210
79,3,2210
79,4,3210
79,5,4210
79,6,5210
79,7,6210
79,8,7210
79,9,8210
79,10,9210
80,0,800
80,1,200
80,2,1200
80,3,2200
80,4,3200
80,5,4200
80,6,5200
80,7,6200
80,8,7200
80,9,8200
80,10,9200
81,0,810
81,1,190
81,2,1190
81,3,2190
81,4,3190
81,5,4190
81,6,5190
81,7,6190
81,8,7190
81,9,8190
81,10,9190
82,0,820
82,1,180
82,2,1180
82,3,2180
82,4,3180
82,5,4180
82,6,5180
82,7,6180
82,8,7180
82,9,8180
82,10,9180
83,0,830
83,1,170
83,2,1170
83,3,2170
83,4,3170
83,5,4170
83,6,5170
83,7,6170
83,8,7170
83,9,8170
83,10,9170
84,0,840
84,1,160
84,2,1160
84,3,2160
84,4,3160
84,5,4160
84,6,5160
84,7,6160
84,8,7160
84,9,8160
84,10,9160
85,0,850
85,1,150
85,2,1150
85,3,2150
85,4,3150
85,5,4150
85,6,5150
85,7,6150
85,8,7150
85,9,8150
85,10,9150
86,0,860
86,1,140
86,2,1140
86,3,2140
86,4,3140
86,5,4140
86,6,5140
86,7,6140
86,8,7140
86,9,8140
86,10,9140
87,0,870
87,1,130
87,2,1130
87,3,2130
87,4,3130
87,5,4130
87,6,5130
87,7,6130
87,8,7130
87,9,8130
87,10,9130
88,0,880
88,1,120
88,2,1120
88,3,2120
88,4,3120
88,5,4120
88,6,5120
88,7,6120
88,8,7120
88,9,8120
88,10,9120
89,0,890
89,1,110
89,2,1110
89,3,2110
89,4,3110
89,5,4110
89,6,5110
89,7,6110
89,8,7110
89,9,8110
89,10,9110
90,0,900
90,1,100
90,2,1100
90,3,2100
90,4,3100
90,5,4100
90,6,5100
90,7,6100
90,8,7100
90,9,8100
90,10,9100
91,0,910
91,1,90
91,2,1090
91,3,2090
91,4,3090
91,5,4090
91,6,5090
91,7,6090
91,8,7090
91,9,8090
91,10,9090
92,0,920
92,1,80
92,2,1080
92,3,2080
92,4,3080
92,5,4080
92,6,5080
92,7,6080
92,8,7080
92,9,8080
92,10,9080
93,0,930
93,1,70
93,2,1070
93,3,2070
93,4,3070
93,5,4070
93,6,5070
93,7,6070
93,8,7070
93,9,8070
93,10,9070
94,0,940
94,1,60
94,2,1060
94,3,2060
94,4,3060
94,5,4060
94,6,5060
94,7,6060
94,8,7060
94,9,8060
94,10,9060
95,0,950
95,1,50
95,2,1050
95,3,2050
95,4,3050
95,5,4050
95,6,5050
95,7,6050
95,8,7050
95,9,8050
95,10,9050
96,0,960
96,1,40
96,2,1040
96,3,2040
96,4,3040
96,5,4040
96,6,5040
96,7,6040
96,8,7040
96,9,8040
96,10,9040
97,0,970
97,1,30
97,2,1030
97,3,2030
97,4,3030
97,5,4030
97,6,5030
