Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,227000.0
1,1,0,275000.0
2,1,0,275000.0
5,1,1,275000.0
6,1,1,275000.0
7,1,1,227000.0
9,1,2,227000.0
10,1,2,275000.0
11,1,2,275000.0
14,1,3,275000.0
15,1,3,227000.0
16,1,3,275000.0
19,1,4,275000.0
20,1,4,275000.0
21,1,4,227000.0
23,1,5,275000.0
24,1,5,227000.0
26,1,5,275000.0
27,1,6,275000.0
28,1,6,45922.0
29,1,6,275000.0
30,1,8,242303.0
31,2,6,181078.0
32,2,7,207161.0
33,2,7,194424.0
34,2,7,120676.0
35,2,7,159468.0
36,2,7,95271.0
37,1,8,148000.0
38,2,8,74363.0
39,2,8,47853.0
39,2,10,160657.0
40,2,8,264481.0
41,2,9,209355.0
42,2,9,75189.0
43,1,9,109000.0
44,2,9,135793.0
45,2,9,165117.0
46,1,10,109000.0
47,2,9,82546.0
48,2,10,114366.0
49,2,10,155469.0
50,2,10,237508.0
