Ubicación,Tipo Energía,Subestación,Energía (MWh)
0,1,0,245000.0
1,1,0,245000.0
2,1,0,245000.0
3,2,0,28000.0
4,1,1,245000.0
5,1,1,50151.0
6,1,1,245000.0
7,2,1,222849.0
8,1,2,128483.0
9,1,2,144517.0
10,1,2,245000.0
11,1,2,245000.0
13,1,3,28000.0
14,1,3,245000.0
15,1,3,245000.0
16,1,3,245000.0
19,1,4,245000.0
20,1,4,245000.0
21,1,4,245000.0
22,2,4,28000.0
23,1,5,245000.0
24,1,5,245000.0
25,1,5,189377.0
26,2,5,83623.0
27,1,6,245000.0
28,1,6,245000.0
29,1,6,245000.0
30,1,7,245000.0
31,2,6,28000.0
31,2,7,61915.0
32,1,7,122000.0
33,2,7,151402.0
34,2,7,132584.0
35,2,7,50099.0
35,2,8,209676.0
36,1,8,69981.0
37,2,8,276455.0
38,2,10,184561.0
39,2,8,70374.0
40,2,8,57514.0
40,2,9,203357.0
41,1,8,79000.0
42,2,9,71226.0
43,1,9,79000.0
44,2,9,160781.0
45,2,9,239195.0
46,2,9,9441.0
46,2,10,145138.0
47,1,10,79000.0
48,2,10,59813.0
49,2,10,112284.0
50,2,10,182204.0
